"Subject" "Activity" "TimeBodyAccelerationMeanX" "TimeBodyAccelerationMeanY" "TimeBodyAccelerationMeanZ" "TimeBodyAccelerationStdX" "TimeBodyAccelerationStdY" "TimeBodyAccelerationStdZ" "TimeGravityAccelerationMeanX" "TimeGravityAccelerationMeanY" "TimeGravityAccelerationMeanZ" "TimeGravityAccelerationStdX" "TimeGravityAccelerationStdY" "TimeGravityAccelerationStdZ" "TimeBodyAccelerationJerkMeanX" "TimeBodyAccelerationJerkMeanY" "TimeBodyAccelerationJerkMeanZ" "TimeBodyAccelerationJerkStdX" "TimeBodyAccelerationJerkStdY" "TimeBodyAccelerationJerkStdZ" "TimeBodyGyroMeanX" "TimeBodyGyroMeanY" "TimeBodyGyroMeanZ" "TimeBodyGyroStdX" "TimeBodyGyroStdY" "TimeBodyGyroStdZ" "TimeBodyGyroJerkMeanX" "TimeBodyGyroJerkMeanY" "TimeBodyGyroJerkMeanZ" "TimeBodyGyroJerkStdX" "TimeBodyGyroJerkStdY" "TimeBodyGyroJerkStdZ" "TimeBodyAccelerationMagMean" "TimeBodyAccelerationMagStd" "TimeGravityAccelerationMagMean" "TimeGravityAccelerationMagStd" "TimeBodyAccelerationJerkMagMean" "TimeBodyAccelerationJerkMagStd" "TimeBodyGyroMagMean" "TimeBodyGyroMagStd" "TimeBodyGyroJerkMagMean" "TimeBodyGyroJerkMagStd" "FrequencyBodyAccelerationMeanX" "FrequencyBodyAccelerationMeanY" "FrequencyBodyAccelerationMeanZ" "FrequencyBodyAccelerationStdX" "FrequencyBodyAccelerationStdY" "FrequencyBodyAccelerationStdZ" "FrequencyBodyAccelerationJerkMeanX" "FrequencyBodyAccelerationJerkMeanY" "FrequencyBodyAccelerationJerkMeanZ" "FrequencyBodyAccelerationJerkStdX" "FrequencyBodyAccelerationJerkStdY" "FrequencyBodyAccelerationJerkStdZ" "FrequencyBodyGyroMeanX" "FrequencyBodyGyroMeanY" "FrequencyBodyGyroMeanZ" "FrequencyBodyGyroStdX" "FrequencyBodyGyroStdY" "FrequencyBodyGyroStdZ" "FrequencyBodyAccelerationMagMean" "FrequencyBodyAccelerationMagStd" "FrequencyBodyAccelerationJerkMagMean" "FrequencyBodyAccelerationJerkMagStd" "FrequencyBodyGyroMagMean" "FrequencyBodyGyroMagStd" "FrequencyBodyGyroJerkMagMean" "FrequencyBodyGyroJerkMagStd"
1 "LAYING" 0.236038798111111 -0.00833586278333333 -0.190169124888889 -0.665282592333333 -0.607351601944444 -0.6007058305 0.706904095611111 0.0505749144444444 0.149822544888889 -0.94248107 -0.944977318888889 -0.8306414745 0.0931260040555555 -0.0162862382777778 0.030465642365 -0.709162412777778 -0.689019313888889 -0.781926301111111 -0.000789150777777777 -0.0578788066666667 0.144531168488889 -0.758160071111111 -0.670799266066667 -0.686090271166667 -0.115615469588889 -0.0129302958888889 -0.0904279381111111 -0.779586844444444 -0.769756347555556 -0.754645310555556 -0.578916254722222 -0.577196124544444 -0.578916254722222 -0.577196124544444 -0.712012052166667 -0.695043646055556 -0.639587306 -0.641479219055556 -0.772622875555556 -0.765756450555556 -0.675780464722222 -0.619994496955556 -0.685454235 -0.662610644388889 -0.62790498115 -0.593278242333333 -0.715978492944444 -0.695477948888889 -0.762573087222222 -0.729124304722222 -0.704332987611111 -0.800257720555556 -0.715030833833333 -0.690621804222222 -0.637221539277778 -0.773786576111111 -0.667022256111111 -0.733306715 -0.602711947666667 -0.634060846888889 -0.678108829388889 -0.720276223111111 -0.662964430666667 -0.6940010605 -0.758027387 -0.793972385555556
1 "SITTING" 0.247941659707692 -0.0187593098850769 -0.102801600076923 -0.4829073843 -0.24345899824 -0.429442623944615 0.700249917292308 -0.0608193841538462 0.0688326217692308 -0.951004741230769 -0.952404644769231 -0.917939246153846 0.123671796538462 0.0222257901061538 -0.0235201179153846 -0.436957086869231 -0.351131246341538 -0.669973773692308 -0.0569504640215385 -0.0766456208676923 0.0865287381553846 -0.639399985553846 -0.368189710555385 -0.543470166476923 -0.0888269705189231 -0.0301265484169231 -0.0388617604230769 -0.547791337323077 -0.581766482307692 -0.613326026615385 -0.3694218956 -0.422026984046154 -0.3694218956 -0.422026984046154 -0.459266566723077 -0.414081711232308 -0.411514291938462 -0.430588763421538 -0.576275339230769 -0.598752398615385 -0.457454921686154 -0.286311665906154 -0.534005325261538 -0.495030968984615 -0.271126003368 -0.425216076061538 -0.4656287348 -0.401323401146154 -0.647520322461538 -0.457706592169231 -0.340512477567385 -0.690848561384615 -0.559471812466154 -0.436435600446154 -0.492892627338462 -0.666234864461538 -0.33846325738 -0.603755586153846 -0.397635313581538 -0.530623531384615 -0.394141906709231 -0.445151830506154 -0.476541212707692 -0.500816063292308 -0.595337594615385 -0.632721851384615
1 "STANDING" 0.268365716 0.001004003188 -0.1111990533 -0.44556561076 -0.28461100252 -0.41982113724 0.7297022444 -0.06580782084 0.11531257336 -0.9510862568 -0.927237162 -0.905648154 -0.012766751848 0.075458293468 0.00751492642008 -0.433884813524 -0.41211034848 -0.6494662028 0.01379979376 -0.12648537132 0.10003974872 -0.6369761704 -0.373862272064 -0.5185881532 -0.1124996964 -0.08783547978 -0.031452814496 -0.60378585 -0.5733484532 -0.5970887704 -0.35111889962 -0.40532348704 -0.35111889962 -0.40532348704 -0.4623476848 -0.4368275706 -0.40045976122 -0.4346778676 -0.582807218 -0.5974783192 -0.43148886632 -0.31209127992 -0.50434901368 -0.45344537692 -0.31849864388 -0.427475264396 -0.45579529608 -0.44828414575764 -0.6177223156 -0.462231827612 -0.413139930564 -0.6796769728 -0.55920909928 -0.41410456528 -0.4685928878 -0.6645730864 -0.35998038136 -0.5807138936 -0.37551869056 -0.51853805788 -0.41739960428 -0.46676732992 -0.45843648348 -0.5207231152 -0.5858308396 -0.64291019
1 "WALKING" 0.274154312663717 -0.0146116159220354 -0.106922108274336 -0.600357113909735 -0.458292283140708 -0.593488382370796 0.743892919150442 -0.0794938863274336 0.0814179889088496 -0.966305862743363 -0.963884010176991 -0.944522599823009 0.0617920801769912 0.00398989161539823 0.016811858425354 -0.574760504877876 -0.526260589821239 -0.750812854070796 -0.0198698688658407 -0.0650830202725664 0.0904959139168142 -0.724020326309735 -0.53399444405177 -0.638519437141593 -0.088493120159292 -0.0507825880938053 -0.0569724254115044 -0.674408511584071 -0.670457366707965 -0.702176221769911 -0.539109132985664 -0.5550406219 -0.539109132985664 -0.5550406219 -0.597239897212389 -0.563609683521593 -0.539556212353982 -0.571056241106195 -0.677252815168142 -0.685778445557522 -0.584391549336283 -0.48112283918885 -0.654388098495575 -0.608213279164602 -0.48187826107 -0.596547265079646 -0.595643218197434 -0.56125532230885 -0.73138863300885 -0.591141925185841 -0.520240232513274 -0.768883216548673 -0.668095692661947 -0.564167414799115 -0.602149228323009 -0.742868254477876 -0.524155612044248 -0.684989965575221 -0.533329290177876 -0.639291973557522 -0.552051881171327 -0.581340936669027 -0.592872617823009 -0.634363927256637 -0.681913031784956 -0.713980117716814
1 "WALKING_DOWNSTAIRS" 0.258740994896552 -0.0338931776463793 -0.0862418410689655 -0.538382952097052 -0.31950854137931 -0.463564580856897 0.683053451051724 -0.107617929931034 0.0466578671103448 -0.953521237068966 -0.930669362551724 -0.925916462758621 0.0562793588810345 0.0224706295051724 -0.0138239654635 -0.53038672537931 -0.463704757263793 -0.725683337931034 -0.02008775955 -0.10049274312069 0.0687938910034483 -0.664287068275862 -0.397360926646552 -0.605657160517241 -0.0893379060724138 -0.0565083999775862 -0.0430568052218966 -0.633972311896552 -0.623718363982759 -0.672807802931034 -0.413963376601724 -0.490580148203448 -0.413963376601724 -0.490580148203448 -0.547242877551724 -0.522861660586207 -0.442095555822414 -0.443001648241379 -0.635103139827586 -0.641534339706897 -0.528282929931035 -0.383532314565517 -0.591299398293103 -0.544098464174138 -0.333466883155172 -0.4482209453 -0.550074853758621 -0.500517304374138 -0.702175269137931 -0.551877011051724 -0.459671469103448 -0.747649726034483 -0.604910411551724 -0.483302638775862 -0.562234340224138 -0.685465690344828 -0.362376920558621 -0.657997995 -0.481666693344828 -0.579400833948276 -0.500750196743104 -0.556263767694828 -0.498348842896552 -0.507047190862069 -0.634901181 -0.676960409310345
1 "WALKING_UPSTAIRS" 0.281417165588235 -0.0204154171764706 -0.109604710073529 -0.526782470102941 -0.344214199211765 -0.459487312107353 0.857484078470588 -0.128445079397059 0.0462030210132353 -0.970842737794118 -0.956687188970588 -0.934789617941176 0.104541386088235 0.0141895170294118 -0.0509666155479412 -0.505204201180882 -0.460913883427941 -0.707642933735294 -0.00680496712897059 -0.12047353175 0.0733920463125 -0.687641202073529 -0.408064905045588 -0.579565562189706 -0.115429790714706 -0.0157770768661765 -0.0365022771441176 -0.641305885102941 -0.620887858441176 -0.645112118851471 -0.430449048941176 -0.490659430235294 -0.430449048941176 -0.490659430235294 -0.526607914825 -0.5097696392 -0.442376057723529 -0.482633028402941 -0.626642788867647 -0.645885021397059 -0.517722441367647 -0.394836830435294 -0.574355976441176 -0.532148286889706 -0.363251578779412 -0.449952089916176 -0.531907021527941 -0.496833125919118 -0.685876455 -0.522384065633382 -0.458844664589706 -0.727777695294118 -0.624426306176471 -0.476585030352941 -0.532342654267647 -0.709096066514706 -0.380824948558824 -0.635088193088235 -0.466701204338235 -0.587016656185294 -0.492555054647059 -0.536599411676471 -0.520259881473529 -0.550692686691176 -0.636531892544118 -0.684439309735294
2 "LAYING" 0.273592148076923 -0.01502116164 -0.120316361038462 -0.594454409962821 -0.445772562912821 -0.539256497958974 0.83498939 -0.280132961027487 0.0288698777333333 -0.970375796410256 -0.959239750641026 -0.930571015 0.0745488898153846 0.0171973986475641 0.00781252173141026 -0.568492260628205 -0.545016271164103 -0.743985674487179 -0.043917807755641 -0.0631917958384615 0.0723135044615385 -0.707488002602564 -0.736924077820513 -0.641881497071795 -0.0805485679282051 -0.0421980148820513 -0.0532539698435897 -0.728852442051282 -0.817411075512821 -0.710401304358974 -0.525627843780769 -0.523757335041026 -0.525627843780769 -0.523757335041026 -0.605042254314103 -0.538892162819231 -0.609542043406795 -0.68798849 -0.780397188076923 -0.79090751525641 -0.575591205979487 -0.460155972226923 -0.605906536064103 -0.602932275884615 -0.474499884087179 -0.540764985416667 -0.568494912153846 -0.548620656714103 -0.710750091064103 -0.609277841273077 -0.574860944948718 -0.776912962692308 -0.65369922424359 -0.741169290512821 -0.620628353576923 -0.725803346589744 -0.737788817820513 -0.68469100175641 -0.498352452314103 -0.613342286948718 -0.529286423541026 -0.554855904288462 -0.72674179974359 -0.716805774615385 -0.79486859525641 -0.800604112435897
2 "SITTING" 0.270369667719512 -0.020664526547561 -0.120224143402439 -0.501231622573171 -0.261120610158537 -0.54880268892439 0.637110815487805 -0.130963374756098 0.20369548904878 -0.958517194512195 -0.957394234146342 -0.950009791707317 0.0880171230006098 0.00320719914268293 -0.00441362522329268 -0.437489473897561 -0.312744298092683 -0.68609394597561 -0.0902358445004878 -0.024321609945122 0.0803853881707317 -0.638987715256098 -0.644547846707317 -0.571517606060976 -0.0835936537073171 -0.0422329084158537 -0.0445414469292683 -0.522110114963415 -0.682088942682927 -0.538181165841463 -0.421805992073171 -0.455106550268293 -0.421805992073171 -0.455106550268293 -0.469706580865854 -0.365269915676829 -0.53228700787561 -0.596669417170732 -0.638742888048781 -0.606724787731707 -0.458372751268293 -0.252465128324512 -0.57793931702439 -0.520213955165854 -0.314592547159756 -0.569731818548781 -0.44786528 -0.344482398502439 -0.659114981207317 -0.478567129804878 -0.325810975213415 -0.712130506951219 -0.525308977734146 -0.631851107841463 -0.498608989578049 -0.676651604414634 -0.657440249146341 -0.640268333012195 -0.393161799060976 -0.57980729997561 -0.361085923353659 -0.37594767452439 -0.596626493865854 -0.672211166585366 -0.633079816365854 -0.602047766280488
2 "STANDING" 0.286128384705882 -0.0196880571852941 -0.110780229794118 -0.882240344882353 -0.845001261470588 -0.899476506176471 0.149483215882353 0.270521387647059 0.387107695641176 -0.957493294411765 -0.976753050588235 -0.977802597058824 0.0966268899117647 0.0234442050176471 -0.00582451305117647 -0.871957360817647 -0.863609295617647 -0.931145438235294 0.00806990502058824 -0.129552728088235 0.151589462735294 -0.933435633823529 -0.917961229411765 -0.892381924705882 -0.114973900205882 -0.0183655758882353 -0.0780096127058824 -0.916584586588235 -0.938983074411765 -0.909707329882353 -0.870211065576471 -0.868335915264706 -0.870211065576471 -0.868335915264706 -0.886857541852941 -0.865183488823529 -0.873008013529412 -0.904650826176471 -0.933554842941176 -0.926306314705882 -0.875169173008824 -0.848139289117647 -0.906664536470588 -0.885527305294118 -0.852640706470588 -0.902888581470588 -0.873147755588235 -0.869061677735294 -0.923749291176471 -0.882548202647059 -0.867014569735294 -0.937269369411765 -0.913578099411765 -0.919554677058824 -0.876004578705882 -0.939836988235294 -0.917979417058824 -0.908771747647059 -0.858162963529412 -0.894865758088235 -0.868426379705882 -0.861156175588235 -0.912326672352941 -0.916638793529412 -0.933406230764706 -0.922947327647059
2 "WALKING" 0.263315961054054 -0.0195999104772973 -0.109180402162162 -0.359939284405405 -0.0754065485675676 -0.351080350081081 0.901927438108108 -0.349115937027027 0.0104280132540541 -0.965144743783784 -0.960752333783784 -0.939656078378378 0.0743068232208108 0.00910685482162162 -0.0143880144648649 -0.268185107135135 -0.129266634345946 -0.568341567567568 -0.0563197705083784 -0.0476780479459459 0.0821256838567568 -0.554127066756757 -0.554622810810811 -0.43745999272973 -0.0654125335135135 -0.0671174257675676 -0.0562931281054054 -0.494463631081081 -0.707180907837838 -0.510348595675676 -0.253842497245946 -0.296345613248649 -0.253842497245946 -0.296345613248649 -0.310113187324324 -0.180977343432432 -0.42759085027027 -0.555124538108108 -0.622177982972973 -0.643350519189189 -0.295105055324324 -0.0624865534324324 -0.394427584891892 -0.388223439513514 -0.14253075797027 -0.37965484337027 -0.271529603943243 -0.168825143527027 -0.523577943243243 -0.334119619621622 -0.145469563810811 -0.612434677567568 -0.458306967837838 -0.578622318378378 -0.3853153187 -0.586098145675676 -0.545289242162162 -0.509559703 -0.225615457113514 -0.451054341891892 -0.190950821567568 -0.175403772310811 -0.574741343243243 -0.620979219459459 -0.655589136486487 -0.652824074594595
